,Unnamed: 0,bed,bathroom,location,year_built,heating,air_conditioner,basement,security,construction,Floor,fireplace,Roof,Parking,Property_type,zipcode,area,county,salary,price
2476,2477,"1
Bed","1
Bath","531 S Perry Street, Denver, CO 80219","This home is located at 531 S Perry Street Denver, Co 80219 Us and has been listed on Homes.com since 17 January 2022 and is currently priced at $325,000, approximately $440 per square foot. This property was built in 1929. 531 S Perry Street is within the school district(s) Denver Public Schools with nearby schools including Knapp Elementary School, Kepner Beacon Middle School, and West Leadership Academy. Similar properties nearby are 1590 Ingalls St, 1020 15th St 28g, 1625 Larimer St 1402, 1020 15th St 19d, 601 W 11th Ave 515, 1625 Larimer St 706, 1020 15th St 9g, 1020 15th St 12k, 1590 Ingalls St, and 65 N Logan St B4.","Heating Details: Forced Air, Natural Gas",,Basement: Yes,,Construction Materials: Other,,,Roof: Composition,Garage: 4 0,Building Features: House,80219,"739
Sq. Ft.",Denver,36565.0,"$325,000"
4824,4888,1 bed,1 bath,,2020.0,Forced Air,Central Air,,,,"Tile,Wood",,,1.0,Condominium,80202,"$1,095 / sq ft",Denver,31295.0,"$1,090,000"
1101,1102,3.0,2.0,"DENVER, CO 80210",1946.0,Electric,,,,,Wood,,,2.0,Residential,80210,"1,690 SqFt.",Denver,49953.0,"$999,000"
309,310,Studio-2 Beds,1-2 Baths,"Denver, CO 80216",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80216,,Denver,30735.0,"$1,760 - $3,785/mo"
4813,4877,3 bed,1 bath,,2021.0,Forced Air,Central Air,,,,"Carpet,Laminate",,Composition,,Townhouse,80221,$209 / sq ft,Adams,39522.0,"$246,000"
3085,3086,3,3,"Denver, CO 80238",2016.0,,,,,,,,,,Townhouse,80238,"1,356",Denver,39381.53220255654,"$271,703"
495,496,2 Beds,2 Baths,"Denver, CO 80218",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80218,,Denver,33162.0,
205,205,1-3 Beds,1-2 Baths,"Denver, CO 80249",Year Built: 2020,Heating: Other,,,,,,,,,Property Type: Apartment,80249,,Denver,63343.0,"$1,575 - $2,370/mo"
2647,2648,"1
Bed","1
Bath","1020 15th Street #19D, Denver, CO 80202","This home is located at 1020 15th Street #19d Denver, Co 80202 Us and has been listed on Homes.com since 10 December 2021 and is currently priced at $286,000, approximately $450 per square foot. This property was built in 1967. 1020 15th Street #19d is within the school district(s) Denver Public Schools with nearby schools including Greenlee Elementary School, Strive Prep - Kepner, and West Leadership Academy. Similar properties nearby are 1020 15th St 19d, 2120 N Downing St, 1020 15th St 28g, 4110 Hale Pkwy 3f, 1196 N Grant St 507, 777 Washington St 1201, 1020 15th St 9g, and 1233 N Ogden St 510.",Heating Details: Hot Water,Cooling Details: Other,,,"Construction Materials: Brick, Concrete, Structural Steel","Flooring: Carpet, Tile",,Roof: Unknown,Garage: 0 0,Building Features: High Rise 8,80202,"635
Sq. Ft.",Denver,31295.0,"$286,000"
3326,3336,3 Beds,4 Baths,,2006,Forced Air,"Central Air, Ceiling Fan(s)",,,,,"2+ Fireplaces, Gas, Family/Recreation Room Fireplace, Primary Bedroom",,2 spaces,Townhouse,80209,"4,138 SqFt",Denver,57519.0,"$1,495,000"
3795,3832,3 bed,1 bath,,1953.0,Forced Air,,,,,"Carpet,Tile",,Composition,2.0,Single Family Residence,80204,$441 / sq ft,Denver,28247.0,"$550,000"
305,306,1-3 Beds,1-2 Baths,"Denver, CO 80246",Year Built: 1995,,,,,,,,,,Property Type: Apartment,80246,,Denver,33336.0,"$1,620 - $3,130/mo"
3758,3794,3 bed,3 bath,,2013.0,"Forced Air,NaturalGas",Central Air,,,,,,Composition,2.0,Single Family Residence,80249,$241 / sq ft,Denver,63343.0,"$495,000"
1746,1747,3.0,4.0,"DENVER, CO 80209",1919.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80209,"3,292 SqFt.",Denver,57519.0,
843,844,2.0,1.0,"DENVER, CO 80221",1922.0,"Hotwater, Naturalgas, Radiant",None,,,,"Carpet, Laminate",,,4.0,Residential,80221,713 SqFt.,Adams,39522.0,"$400,000"
4036,4076,2 bed,2 bath,,2021.0,,"Ceiling Fan(s),Central Air",,,,,,Rubber,1.0,,80211,$447 / sq ft,Denver,35753.0,"$670,000"
2231,2232,3.0,3.0,"DENVER, CO 80237",1969.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Laminate, Tile",,,1.0,Residential,80237,"1,856 SqFt.",Denver,51612.0,"$410,000"
211,211,1-2 Beds,1-2 Baths,"Denver, CO 80237",Year Built: 2013,,,,,,,,,,Property Type: Apartment,80237,,Denver,51612.0,"$1,668 - $2,253/mo"
3681,3716,4 bed,2 bath,,2021.0,Forced Air,Central Air,,,,,,Composition,2.0,,80221,$186 / sq ft,Adams,39522.0,"$272,000"
679,680,2.0,1.0,"DENVER, CO 80210",1955.0,"Forcedair, Naturalgas",None,,,,Wood,,,2.0,Residential Income,80210,910 SqFt.,Denver,49953.0,"$419,900"
565,566,1 Bed,1 Bath,"Denver, CO 80203",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80203,,Denver,27444.0,"$1,375/mo"
4209,4255,4 bed,1 bath,,1971.0,NaturalGas,,,,,"Carpet,Concrete,Tile",,Composition,,Single Family Residence,80239,$205 / sq ft,Denver,44094.0,"$425,000"
4570,4625,2 bed,1 bath,,1973.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Tile",,Composition,2.0,Condominium,80224,$232 / sq ft,Denver,45504.0,"$439,777"
680,681,1.0,2.0,"DENVER, CO 80223",1892.0,Forcedair,Other,,,,,,,2.0,Residential,80223,227 SqFt.,Denver,32853.0,"$459,000"
180,180,1-2 Beds,1-2 Baths,"Denver, CO 80239",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80239,,Denver,44094.0,"$1,530 - $2,082/mo"
2634,2635,"7
Beds","6
Baths","1147 S Adams Street, Denver, CO 80210","This home is located at 1147 S Adams Street Denver, Co 80210 Us and has been listed on Homes.com since 21 October 2021 and is currently priced at $2,500,000, approximately $385 per square foot. This property was built in 2021. 1147 S Adams Street is within the school district(s) Denver Public Schools with nearby schools including Cory Elementary School, Merrill Middle School, and South High School. Similar properties nearby are 2476 S Madison St, 1147 S Adams St, 7971 E 6th Ave, 2450 E Alameda Ave, 1165 S York St, 2260 S Adams St, 2450 E Alameda Ave 11, 423 Locust St, 237 Madison St, and 328 S Gilpin St.","Heating Details: Forced Air, Natural Gas",Cooling Details: Central Air,Basement: Yes,,"Construction Materials: Frame, Stone, Stucco","Flooring: Carpet, Tile, Wood",,Roof: Composition,Garage: 3 0,Building Features: House,80210,"6,491
Sq. Ft.",Denver,49953.0,"$2,500,000"
1187,1188,3.0,2.0,"DENVER, CO 80205",1929.0,"Forcedair, Naturalgas",Centralair,,,,,,,1.0,Residential,80205,"1,728 SqFt.",Denver,28545.0,"$655,000"
4602,4657,2 bed,2 bath,,2008.0,Forced Air,Central Air,,,,Wood Floors,,Tar/Gravel,2.0,,80202,"$1,009 / sq ft",Denver,31295.0,"$2,795,000"
4252,4299,2 bed,2 bath,,2006.0,Forced Air,Central Air,,,,Laminate,,"Architectural,Shingle",,Condominium,80249,$269 / sq ft,Denver,63343.0,"$329,900"
278,279,1-2 Beds,1-2 Baths,"Denver, CO 80231",,,,,,,,,,,Property Type: Apartment,80231,,Denver,40908.0,"$1,781 - $2,231/mo"
1084,1085,4.0,4.0,"DENVER, CO 80221",1988.0,Forcedair,Evaporativecooling,,,,"Carpet, Linoleum",,,5.0,Residential,80221,"4,310 SqFt.",Adams,39522.0,"$800,000"
4157,4203,1 bed,1 bath,,1958.0,Forced Air,Central Air,,,,,,Composition,1.0,,80203,$451 / sq ft,Denver,27444.0,"$285,000"
432,433,Studio-2 Beds,1-2 Baths,"Denver, CO 80210",,,,,,,,,,,Property Type: Apartment,80210,,Denver,49953.0,"$1,665 - $2,690/mo"
289,290,Studio-2 Beds,1-2.5 Baths,"Denver, CO 80204",Year Built: 2021,"Heating: Forced Air, Other",,,,,,,,,Property Type: Apartment,80204,,Denver,28247.0,"$1,545 - $7,495/mo"
1027,1028,3.0,2.0,"DENVER, CO 80224",1956.0,Forced Air,,,,,,,,,Residential,80224,"1,677 SqFt.",Denver,45504.0,"$749,999"
535,536,1 Bed,1 Bath,"Denver, CO 80220",,,,,,,,,,,Property Type: Apartment,80220,,Denver,44475.0,"$1,165/mo"
4786,4848,2 bed,1 bath,,1906.0,Forced Air,,,,,"Carpet,Laminate",,Composition,,Single Family Residence,80221,$588 / sq ft,Adams,39522.0,"$394,000"
188,188,Studio-2 Beds,1-2 Baths,"1250 Cherokee St, Denver, CO 80204",Year Built: 2017,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80204,,Denver,28247.0,"$1,685 - $2,835/mo"
2154,2155,2.0,3.0,"DENVER, CO 80202",2006.0,"Forcedair, Naturalgas",Centralair,,,,Wood,,,2.0,Residential,80202,"2,629 SqFt.",Denver,31295.0,"$1,450,000"
3880,3919,3 bed,1 bath,,1971.0,Forced Air,Central Air,,,,"Carpet,Tile",,Composition,,Single Family Residence,80221,$406 / sq ft,Adams,39522.0,"$390,000"
4639,4696,2 bed,2 bath,,2005.0,Electric,Central Air,,,,,,,,Condominium,80202,$597 / sq ft,Denver,31295.0,"$715,000"
270,271,1-3 Beds,1-3 Baths,"Denver, CO 80247",,,,,,,,,,,Property Type: Apartment,80247,,Arapahoe,50411.666666666664,"$1,710 - $3,675/mo"
1616,1617,2.0,1.0,"DENVER, CO 80219",1932.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80219,899 SqFt.,Denver,36565.0,
4040,4080,,,,,,,,,,,,,,,80219,N/A / sq ft,Denver,36565.0,"$1,500,000"
2860,2861,"1
Bed","1
Bath","The Bohemian Rhapsody at Crescendo at Aria in Denver, CO 80221","This home is located in Denver, Co 80221 Us and has been listed on Homes.com since 1 October 2021 and is currently priced at $394,000, approximately $508 per square foot. Similar properties nearby are 2876 W 53rd Ave, 2851 W 52nd Ave, 2851 W 52nd Ave, and 2877 W 52nd Ave.",,,,,,,,,,,80221,"776
Sq. Ft.",Adams,39522.0,"$394,000+"
3661,3696,3 bed,2 bath,,2017.0,Forced Air,Central Air,,,,"Carpet,Tile,Wood",,Composition,2.0,Single Family Residence,80238,$247 / sq ft,Denver,39381.53220255654,"$870,000"
111,111,1-2 Beds,1-2 Baths,"Denver, CO 80237",Year Built: 1985,"Heating: Forced Air, Other",,,,,,,,,Property Type: Apartment,80237,,Denver,51612.0,"$1,512 - $1,899/mo"
1862,1863,2.0,3.0,"DENVER, CO 80237",2001.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile",,,2.0,Residential,80237,"2,841 SqFt.",Denver,51612.0,"$1,050,000"
220,221,1-2 Beds,1-2 Baths,"Denver, CO 80237",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80237,,Denver,51612.0,"$1,512 - $2,408/mo"
627,628,1.0,1.0,"DENVER, CO 80222",1951.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80222,918 SqFt.,Denver,41932.0,
3377,3388,3 Beds,2 Baths,,1957,Forced Air,Central Air,,,,,,,2 spaces,,80210,"1,860 SqFt",Denver,49953.0,"$875,000"
4654,4711,2 bed,2 bath,,2020.0,"Electric,Forced Air,Heat Pump",Central Air,,,,"Carpet,Wood",,Membrane,2.0,Condominium,80204,$711 / sq ft,Denver,28247.0,"$975,000"
2399,2400,3.0,2.0,"DENVER, CO 80229",2018.0,Forcedair,Centralair,,,,"Carpet, Laminate, Tile",,,2.0,Residential,80229,"1,210 SqFt.",Adams,43698.0,"$320,000"
790,791,2.0,2.0,"DENVER, CO 80204",1997.0,"Forcedair, Radiantfloor",Centralair,,,,"Tile, Vinyl",,,2.0,Residential,80204,"1,584 SqFt.",Denver,28247.0,"$650,000"
1935,1936,2.0,2.0,"DENVER, CO 80239",2002.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Vinyl",,,2.0,Residential,80239,"1,148 SqFt.",Denver,44094.0,"$319,900"
461,462,2 Beds,1 Bath,"Aurora, CO 80014",Year Built: 1983,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80014,,Arapahoe,47525.0,"$1,800/mo"
4379,4427,3 bed,2 bath,,2022.0,Forced Air,Central Air,,,,"Carpet,Concrete,Tile,Vinyl,Wood",,Composition,2.0,Multi Family,80127,$214 / sq ft,Jefferson,82563.0,"$577,460"
551,552,2 Beds,2 Baths,"Aurora, CO 80014",Year Built: 1974,Heating: Forced Air,,,,,,,Roof: Composition,,Property Type: Apartment,80014,,Arapahoe,47525.0,"$252,000"
3172,3178,4,3,"Denver, CO 80204",1884.0,,,,,,,,,,Single Family Residential,80204,"2,222",Denver,28247.0,"$815,000"
1129,1130,3.0,3.0,"DENVER, CO 80249",1993.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Vinyl, Wood",,,2.0,Residential,80249,"1,521 SqFt.",Denver,63343.0,"$460,000"
198,198,1-2 Beds,1-2 Baths,"Denver, CO 80237",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80237,,Denver,51612.0,"$1,759 - $2,209/mo"
4243,4290,3 bed,1 bath,,1986.0,"Forced Air,NaturalGas",Evaporative Cooling,,,,"Carpet,Linoleum",,Composition,2.0,Single Family Residence,80227,$285 / sq ft,Jefferson,50816.0,"$500,000"
402,403,1-3 Beds,1-2 Baths,4560 S Balsam Way,Year Built: 2013,,,,,,,,,,Property Type: Apartment,80123,,Jefferson,63482.0,"$1,559 - $2,400/mo"
3027,3028,2,2,"Denver, CO 80237",1997.0,,,,,,,,,,Condo,80237,"1,169",Denver,51612.0,"$360,000"
4821,4885,7 bed,,,1956.0,Forced Air,Central Air,,,,,,Composition,3.0,Duplex,80212,$200 / sq ft,Denver,37366.0,"$749,900"
4738,4799,2 bed,1 bath,,1973.0,Forced Air,Central Air,,,,"Carpet,Tile",,Composition,1.0,Multi Family,80229,$225 / sq ft,Adams,43698.0,"$230,000"
2438,2439,2.0,1.0,"DENVER, CO 80211",1911.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80211,"1,147 SqFt.",Denver,35753.0,
2486,2487,"2
Beds","1
Bath","775 S Alton Way #12D, Denver, CO 80247","This home is located at 775 S Alton Way #12d Denver, Co 80247 Us and has been listed on Homes.com since 15 January 2022 and is currently priced at $220,000, approximately $233 per square foot. This property was built in 1965. 775 S Alton Way #12d is within the school district(s) Denver Public Schools with nearby schools including Place Bridge Academy and George Washington High School. Similar properties nearby are 34 Nome Way C, 6800 E Tennessee Ave 433, 700 S Alton Way 2b, 1075 S Elkhart Way 203, 775 S Alton Way, 585 S Alton Way, 775 S Alton Way 12d, 9355 E Center Ave 2d, 650 S Alton Way, and 6800 E Tennessee Ave.",Heating Details: Baseboard,Cooling Details: Air Conditioning Room,,,Construction Materials: Block,"Flooring: Carpet, Wood",,Roof: Composition,Garage: 1 0,Building Features: Mid Rise 4 7,80247,"945
Sq. Ft.",Arapahoe,50411.666666666664,"$220,000"
4439,4489,2 bed,1 bath,,2021.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Laminate,Tile",,Membrane,2.0,Multi Family,80211,$546 / sq ft,Denver,35753.0,"$779,000"
650,651,5.0,3.0,"DENVER, CO 80204",1944.0,Forcedair,Centralair,,,,,,,2.0,Residential,80204,"1,617 SqFt.",Denver,28247.0,"$575,000"
708,709,2.0,3.0,"DENVER, CO 80203",2003.0,"Forcedair, Naturalgas",Centralair,,,,"Tile, Wood",,,2.0,Residential,80203,"1,306 SqFt.",Denver,27444.0,"$779,990"
3944,3983,1 bed,1 bath,,1980.0,Baseboard,Ceiling Fans,,,,,,Composition,,Condominium,80227,$276 / sq ft,Jefferson,50816.0,"$170,000"
4391,4439,4 bed,,,1954.0,Forced Air,Evaporative Cooling,,,,"Carpet,Vinyl",,"Architectural,Shingle",2.0,Duplex,80207,$365 / sq ft,Denver,41722.0,"$769,000"
2704,2705,"2
Beds","2
Baths","155 S Monaco Street Parkway #102, Denver, CO 80224","This home is located at 155 S Monaco Street Parkway #102 Denver, Co 80224 Us and has been listed on Homes.com since 30 September 2021 and is currently priced at $465,000, approximately $507 per square foot. This property was built in 2017. 155 S Monaco Street Parkway #102 is within the school district(s) Denver Public Schools with nearby schools including Carson Elementary School, Hill Campus Of Arts And Sciences, and George Washington High School. Similar properties nearby are 9633 E 5th Ave, 7700 E 29th Ave 306, 1421 Oneida St 1, 2124 E 17th Ave 3, 7877 E Mississippi Ave 1506, 400 S Lafayette St 807, 540 S Forest St 9-201, 1313 N Williams St 401, and 540 S Forest St.","Heating Details: Forced Air, Natural Gas",Cooling Details: Central Air,,,"Construction Materials: Brick, Frame, Stucco","Flooring: Carpet, Laminate, Tile",,Roof: Composition,Garage: 1 0,Building Features: Low Rise 1 3,80224,"918
Sq. Ft.",Denver,45504.0,"$465,000"
3646,3681,1 bed,1 bath,,1920.0,Forced Air,Central Air,,,,,,Flat,2.0,,80204,$469 / sq ft,Denver,28247.0,"$650,000"
1732,1733,3.0,2.0,"DENVER, CO 80237",1957.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80237,"2,460 SqFt.",Denver,51612.0,
314,315,1-3 Beds,1-3 Baths,"Denver, CO 80203",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80203,,Denver,27444.0,"$2,195 - $9,895/mo"
